pickup_date,count,holiday,weekday
2017-02-05,846933,0,6
2017-02-06,737851,0,0
2017-02-07,808536,0,1
2017-02-08,818329,0,2
2017-02-09,566115,0,3
2017-02-10,960965,0,4
2017-02-11,996618,0,5
2017-02-12,886494,1,6
2017-02-13,803419,1,0
2017-02-14,885123,0,1
2017-02-15,859066,1,2
2017-02-16,879754,0,3
2017-02-17,915899,0,4
2017-02-18,883801,0,5
2017-02-19,801071,0,6
2017-02-20,677724,1,0
2017-02-21,728285,0,1
2017-02-22,767809,0,2
2017-02-23,827006,0,3
2017-02-24,893441,0,4
2017-02-25,984644,0,5
2017-02-26,847959,0,6
2017-02-27,771301,0,0
2017-02-28,784961,0,1
2017-03-01,841912,0,2
2017-03-02,924196,0,3
2017-03-03,1012260,0,4
2017-03-04,1095884,0,5
2017-03-05,891920,0,6
2017-03-06,788764,0,0
2017-03-07,828996,0,1
2017-03-08,841730,0,2
2017-03-09,900271,0,3
2017-03-10,1010011,0,4
2017-03-11,1082071,0,5
2017-03-12,907021,0,6
2017-03-13,877307,0,0
2017-03-14,330189,0,1
2017-03-15,834650,0,2
2017-03-16,883153,0,3
2017-03-17,899959,0,4
2017-03-18,1018897,0,5
2017-03-19,819936,0,6
2017-03-20,742071,0,0
2017-03-21,764485,0,1
2017-03-22,881418,0,2
2017-03-23,883987,0,3
2017-03-24,910102,0,4
2017-03-25,956837,0,5
2017-03-26,836946,0,6
2017-03-27,752076,0,0
2017-03-28,859100,0,1
2017-03-29,821673,0,2
2017-03-30,884864,0,3
2017-03-31,1073680,0,4
2017-04-01,921825,0,5
2017-04-02,715280,0,6
2017-04-03,773293,0,0
2017-04-04,841883,0,1
2017-04-05,860683,0,2
2017-04-06,959095,0,3
2017-04-07,989986,0,4
2017-04-08,988151,0,5
2017-04-09,853559,0,6
2017-04-10,729353,0,0
2017-04-11,765836,0,1
2017-04-12,797204,0,2
2017-04-13,846372,0,3
2017-04-14,858020,0,4
2017-04-15,868045,0,5
2017-04-16,787126,0,6
2017-04-17,708052,0,0
2017-04-18,785158,0,1
2017-04-19,867600,0,2
2017-04-20,907028,0,3
2017-04-21,989939,0,4
2017-04-22,974983,0,5
2017-04-23,853865,0,6
2017-04-24,784602,0,0
2017-04-25,926146,0,1
2017-04-26,864556,0,2
2017-04-27,891051,0,3
2017-04-28,942491,0,4
2017-04-29,995458,0,5
2017-04-30,846282,0,6
2017-06-01,842162,0,3
2017-06-02,900614,0,4
2017-06-03,938847,0,5
2017-06-04,823072,0,6
2017-06-05,787598,0,0
2017-06-06,867149,0,1
2017-06-07,867725,0,2
2017-06-08,917461,0,3
2017-06-09,930874,0,4
2017-06-10,974350,0,5
2017-06-11,836436,0,6
2017-06-12,810707,0,0
2017-06-13,861902,0,1
2017-06-14,886716,0,2
2017-06-15,900922,0,3
2017-06-16,930933,0,4
2017-06-17,948653,0,5
2017-06-18,809573,0,6
2017-06-19,839301,0,0
2017-06-20,824702,0,1
2017-06-21,864649,0,2
2017-06-22,874426,0,3
2017-06-23,951495,0,4
2017-06-24,947861,0,5
2017-06-25,757311,0,6
2017-06-26,749036,0,0
2017-06-27,830759,0,1
2017-06-28,825738,0,2
2017-06-29,834365,0,3
2017-06-30,863244,0,4
2017-07-01,799868,0,5
2017-07-02,684197,0,6
2017-07-03,624126,0,0
2017-07-04,608587,1,1
2017-07-05,707767,0,2
2017-07-06,748456,0,3
2017-07-07,863504,0,4
2017-07-08,838080,0,5
2017-07-09,761438,0,6
2017-07-10,743013,0,0
2017-07-11,799705,0,1
2017-07-12,854554,0,2
2017-07-13,897767,0,3
2017-07-14,922309,0,4
2017-07-15,896169,0,5
2017-07-16,816860,0,6
2017-07-17,772936,0,0
2017-07-18,824639,0,1
2017-07-19,877207,0,2
2017-07-20,912964,0,3
2017-07-21,925478,0,4
2017-07-22,928904,0,5
2017-07-23,788369,0,6
2017-07-24,784547,0,0
2017-07-25,777913,0,1
2017-07-26,819944,0,2
2017-07-27,868555,0,3
2017-07-28,895286,0,4
2017-07-29,884716,0,5
2017-07-30,802617,0,6
2017-07-31,745468,0,0
2017-08-01,788081,0,1
2017-08-02,847660,0,2
2017-08-03,870391,0,3
2017-08-04,897457,0,4
2017-08-05,862987,0,5
2017-08-06,771015,0,6
2017-08-07,803368,0,0
2017-08-08,766568,0,1
2017-08-09,806582,0,2
2017-08-10,849202,0,3
2017-08-11,865828,0,4
2017-08-12,853360,0,5
2017-08-13,759522,0,6
2017-08-14,711100,0,0
2017-08-15,785319,0,1
2017-08-16,800515,0,2
2017-08-17,830384,0,3
2017-08-18,904464,0,4
2017-08-19,879816,0,5
2017-08-20,790594,0,6
2017-08-21,727454,0,0
2017-08-22,799148,0,1
2017-08-23,810534,0,2
2017-08-24,817579,0,3
2017-08-25,842917,0,4
2017-08-26,867866,0,5
2017-08-27,793084,0,6
2017-08-28,696803,0,0
2017-08-29,816675,0,1
2017-08-30,770428,0,2
2017-08-31,809117,0,3
2017-09-01,836123,0,4
2017-09-02,867555,0,5
2017-09-03,742398,0,6
2017-09-04,679810,1,0
2017-09-05,788857,0,1
2017-09-06,911397,0,2
2017-09-07,907370,0,3
2017-09-08,980782,0,4
2017-09-09,1013695,0,5
2017-09-10,902175,0,6
2017-09-11,815668,0,0
2017-09-12,864715,0,1
2017-09-13,900945,0,2
2017-09-14,948330,0,3
2017-09-15,979372,0,4
2017-09-16,1019615,0,5
2017-09-17,899523,0,6
2017-09-18,764785,0,0
2017-09-19,813792,0,1
2017-09-20,805895,0,2
2017-09-21,800346,0,3
2017-09-22,904401,0,4
2017-09-23,1011547,0,5
2017-09-24,882280,0,6
2017-09-25,805235,0,0
2017-09-26,825331,0,1
2017-09-27,894691,0,2
2017-09-28,918815,0,3
2017-09-29,961845,0,4
2017-09-30,1002111,0,5
2017-10-01,860315,0,6
2017-10-02,773321,0,0
2017-10-03,819604,0,1
2017-10-04,858958,0,2
2017-10-05,917143,0,3
2017-10-06,973065,0,4
2017-10-07,1029707,0,5
2017-10-08,907755,0,6
2017-10-09,774593,1,0
2017-10-10,850567,0,1
2017-10-11,882125,0,2
2017-10-12,932960,0,3
2017-10-13,984076,0,4
2017-10-14,1052416,0,5
2017-10-15,909358,0,6
2017-10-16,853678,0,0
2017-10-17,869606,0,1
2017-10-18,894506,0,2
2017-10-19,927074,0,3
2017-10-20,995083,0,4
